ArticleTitle,ArticleType,ArticleURL,ArticleDownUrl,ArticleDownUrl0,ArticleDIO,ArticleRef
Creating a climate for change: Communicating climate change and facilitating social change,[图书],https://www.google.com/books?hl=zh-CN&lr=&id=eypII4Hatg4C&oi=fnd&pg=PA31&dq=+%22climate+for+change%22&ots=QlYbQjb4gS&sig=zSy4zR113tHmdN9YMxvO0PtNEqM,,,,"Creating a climate for change: Communicating climate change and facilitating social change[M]. Cambridge University Press, 2007."
"Climate for change, or how to create a green modernity?",[PDF],https://journals.sagepub.com/doi/pdf/10.1177/0263276409358729,https://zero.sci-hub.se/3553/e6d0051b6f17bb78ea8b3f7843debaf9/beck2010.pdf,https://journals.sagepub.com/doi/pdf/10.1177/0263276409358729,10.1177/0263276409358729,"Beck U. Climate for change, or how to create a green modernity?[J]. Theory, Culture & Society, 2010, 27(2-3): 254-266."
Actions necessary to prevent childhood obesity: creating the climate for change,,https://www.cambridge.org/core/journals/journal-of-law-medicine-and-ethics/article/actions-necessary-to-prevent-childhood-obesity-creating-the-climate-for-change/C4D99B965B4CAF86AC6938B46A67FBBB,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=419850d62f2d60b9a9d68041c9be342881c5b864,,"Schwartz M B, Brownell K D. Actions necessary to prevent childhood obesity: creating the climate for change[J]. Journal of Law, Medicine & Ethics, 2007, 35(1): 78-89."
A climate for change? Critical reflections on the Durban United Nations climate change conference,,https://journals.sagepub.com/doi/pdf/10.1177/0170840612464609,https://zero.sci-hub.se/4200/e83f7c92c31728a33086a91fc25ebb93/banerjee2012.pdf,https://openaccess.city.ac.uk/id/eprint/6085/1/,10.1177/0170840612464609,"Banerjee S B. A climate for change? Critical reflections on the Durban United Nations climate change conference[J]. Organization Studies, 2012, 33(12): 1761-1786."
Toward the social tipping point: Creating a climate for change,[PDF],https://www.researchgate.net/profile/Lisa-Dilling/publication/281164858_Toward_the_social_tipping_point_Creating_a_climate_for_change/links/574ee79b08aec50945bb56b5/Toward-the-social-tipping-point-Creating-a-climate-for-change.pdf,,https://www.researchgate.net/profile/Lisa-Dilling/publication/281164858_Toward_the_social_tipping_point_Creating_a_climate_for_change/links/574ee79b08aec50945bb56b5/Toward-the-social-tipping-point-Creating-a-climate-for-change.pdf,,"Moser S C, Dilling L. Toward the social tipping point: Creating a climate for change[J]. Creating a climate for change: Communicating climate change and facilitating social change, 2007: 491-516."
"Creating a climate for change: Interventions, efficacy and public discussion about climate change",,https://www.sciencedirect.com/science/article/pii/S0272494417300440,,https://www.sciencedirect.com/science/article/am/pii/S0272494417300440,,"Geiger N, Swim J K, Fraser J. Creating a climate for change: Interventions, efficacy and public discussion about climate change[J]. Journal of Environmental Psychology, 2017, 51: 104-116."
Climate for change,[图书],https://ui.adsabs.harvard.edu/abs/2000clch.book.....N/abstract,,,,Newell P. Climate for change[M]. 2000.
A cooling climate for change? Party polarization and the politics of global warming,,https://journals.sagepub.com/doi/pdf/10.1177/0002764212463361,https://moscow.sci-hub.se/3719/1df5412db6537c234e84c9fc9bccba30/guber2012.pdf,https://cssn.org/wp-content/uploads/2020/12/A-Cooling-Climate-for-Change-Party-Polarization-and-the-Politics-of-Global-Warming-Deborah-Guber.pdf,10.1177/0002764212463361,"Guber D L. A cooling climate for change? Party polarization and the politics of global warming[J]. American Behavioral Scientist, 2013, 57(1): 93-115."
A climate for change? The impacts of climate change on energy politics,,https://www.tandfonline.com/doi/abs/10.1080/09557571.2018.1508203,https://sci-hub.se/10.1080/09557571.2018.1508203,https://www.academia.edu/download/58165289/A_climate_for_change.pdf,10.1080/09557571.2018.1508203,"Newell P, Lane R. A climate for change? The impacts of climate change on energy politics[J]. Cambridge Review of International Affairs, 2020, 33(3): 347-364."
Work relations as a precursor to a psychological climate for change: The role of work group supervisors and peers,,https://www.emerald.com/insight/content/doi/10.1108/09534819910263668/full/html,https://moscow.sci-hub.se/3644/9ebc895b36a05cc0b8614f6397fd46fa/tierney1999.pdf,https://cdn1.booksdl.org/index.php?req=10.1108/09534819910263668,10.1108/09534819910263668,"Tierney P. Work relations as a precursor to a psychological climate for change: The role of work group supervisors and peers[J]. Journal of Organizational Change Management, 1999, 12(2): 120-134."
"Climate control? The relationship between leadership, climate for change, and work outcomes",,https://www.tandfonline.com/doi/abs/10.1080/09585192.2011.561228,https://moscow.sci-hub.se/3199/b2bfe00d3c9c07345c77781946ce2955/depoel2012.pdf,https://www.tandfonline.com/doi/pdf/10.1080/09585192.2011.561228,10.1080/09585192.2011.561228,"De Poel F M, Stoker J I, Van der Zee K I. Climate control? The relationship between leadership, climate for change, and work outcomes[J]. The International Journal of Human Resource Management, 2012, 23(4): 694-713."
A climate for change: 2019 Young Ambassador report,,https://apo.org.au/node/230771,,,,Australia U. A climate for change: 2019 Young Ambassador report[J]. 2019.
A climate for change: Global warming facts for faith-based decisions,[图书],https://www.google.com/books?hl=zh-CN&lr=&id=iOA2n86mYtAC&oi=fnd&pg=PP2&dq=+%22climate+for+change%22&ots=__WoBxl80v&sig=i72pm5bu50bI2v-CT-fGyezgGyY,,,,"Hayhoe K, Farley A. A climate for change: Global warming facts for faith-based decisions[M]. FaithWords, 2009."
"A climate for change: Green building policies, programs, and incentives",,https://meridian.allenpress.com/jgb/article-abstract/3/2/46/199898,,https://www.solvista.com/docs/pubs/a_climate_for_change.pdf,,"Sentman S D, Del Percio S T, Koerner P. A climate for change: Green building policies, programs, and incentives[J]. Journal of green building, 2008, 3(2): 46-63."
Climate for Change.,,https://eric.ed.gov/?id=ED067873,,https://files.eric.ed.gov/fulltext/ED067873.pdf,,Williams S. Climate for Change[J]. 1972.
A CLIMATE FOR CHANGE?,[PDF],https://eba.se/wp-content/uploads/2019/05/2019_03_webb_Tillganp.pdf,,https://eba.se/wp-content/uploads/2019/05/2019_03_webb_Tillganp.pdf,,LINDE S. A CLIMATE FOR CHANGE?[J]. 2011.
Climate for change in Extension,[PDF],https://core.ac.uk/download/pdf/188051847.pdf,,https://core.ac.uk/download/pdf/188051847.pdf,,"Tondl R M. Climate for change in Extension[J]. Journal of Extension, 1991, 29(3): 14-16."
The climate for change,[PDF],http://emmanuel.olivaux.free.fr/News/2008/NewYorkTimes_20081109_TheClimateForChange.pdf,,http://emmanuel.olivaux.free.fr/News/2008/NewYorkTimes_20081109_TheClimateForChange.pdf,,"Gore A. The climate for change[J]. New York Times Op Ed, November, 2008, 9."
21st century climate for change: Curriculum design for quality learning engagement in law,,https://search.informit.org/doi/abs/10.3316/ielapa.770610459663871,https://sci-hub.se/10.3316/ielapa.770610459663871,https://search.informit.org/doi/pdf/10.3316/ielapa.770610459663871,10.3316/ielapa.770610459663871,"Kift S. 21st century climate for change: Curriculum design for quality learning engagement in law[J]. Legal Education Review, 2008, 18(1/2): 1-30."
"A climate for change: Millennials, science and the humanities",,https://www.tandfonline.com/doi/abs/10.1080/17524032.2018.1500927,https://zero.sci-hub.se/7035/fbd7802fa1aa727bbd9ea21bdb537c8f/honeybun-arnolda2018.pdf,https://ueaeprints.uea.ac.uk/id/eprint/68473/1/Honeybun_ArnoldaObermeister2018_Aclimateforchange.docx,10.1080/17524032.2018.1500927,"Honeybun-Arnolda E, Obermeister N. A climate for change: Millennials, science and the humanities[J]. Environmental Communication, 2019, 13(1): 1-8."
Support for innovation in site-based-managed schools: Developing a climate for change,,https://search.proquest.com/openview/e5d57e59228477b6e3cf6b535e68b9db/1?pq-origsite=gscholar&cbl=48020,,,,"Dee J R, Henkin A B, Pell S W J. Support for innovation in site-based-managed schools: Developing a climate for change[J]. Educational Research Quarterly, 2002, 25(4): 36."
A climate for change? Norwegian farmers' attitudes to climate change and climate policy,,https://www.degruyter.com/document/doi/10.1515/wps-2018-0003/html?lang=en,https://sci-hub.se/10.1515/wps-2018-0003/html?lang=en,https://cdn1.booksdl.org/index.php?req=10.1515/wps-2018-0003/html?lang=en,10.1515/wps-2018-0003/html?lang=en,"Brobakk J. A climate for change? Norwegian farmers’ attitudes to climate change and climate policy[J]. World Political Science, 2018, 14(1): 55-79."
Does your school have a peaceful environment? Using an audit to create a climate for change and resiliency,,https://journals.sagepub.com/doi/pdf/10.1177/105345129703200405,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1d8cd1239057d6eac85c2a7a9a5a569a968a238e,,"Embry D D. Does your school have a peaceful environment? Using an audit to create a climate for change and resiliency[J]. Intervention in School and Clinic, 1997, 32(4): 217-222."
Health care transformation in a resource-limited environment: exploring the determinants of a good climate for change,,https://www.tandfonline.com/doi/abs/10.2147/JMDH.S194180,https://sci-hub.se/10.2147/JMDH.S194180?needAccess=true&role=button,https://www.tandfonline.com/doi/pdf/10.2147/JMDH.S194180?needAccess=true&role=button,10.2147/JMDH.S194180?needAccess=true&role=button,"van Boekholt T A, Duits A J, Busari J O. Health care transformation in a resource-limited environment: exploring the determinants of a good climate for change[J]. Journal of Multidisciplinary Healthcare, 2019: 173-182."
"Creating a climate for change: Students, teachers, administrators working together",,https://journals.sagepub.com/doi/pdf/10.1177/019263659307755210,https://sci-hub.se/10.1177/019263659307755210,https://cdn1.booksdl.org/index.php?req=10.1177/019263659307755210,10.1177/019263659307755210,"Benjamin S, Gard J. Creating a climate for change: Students, teachers, administrators working together[J]. NASSP Bulletin, 1993, 77(552): 63-67."
A Climate for Change.,,https://eric.ed.gov/?id=EJ470508,,,,"Henderson J E. A Climate for Change[J]. Executive Educator, 1993, 15(9): 30-31."
Organizational climate and climate for change in three police departments: Some preliminary findings,,https://journals.sagepub.com/doi/pdf/10.1177/107808747200800204,https://sci-hub.se/10.1177/107808747200800204,https://cdn1.booksdl.org/index.php?req=10.1177/107808747200800204,10.1177/107808747200800204,"Duncan R B. Organizational climate and climate for change in three police departments: Some preliminary findings[J]. Urban Affairs Quarterly, 1972, 8(2): 205-245."
Creating a climate for change,,https://www.nature.com/articles/46159,,,,Kete N. Creating a climate for change[J]. 1999.
Meeting New Challenges: Creating a Climate for Change.,,https://eric.ed.gov/?id=EJ261764,,,,"Gwinn D G. Meeting New Challenges: Creating a Climate for Change[J]. College and University, 1981, 57(1): 13-25."
 Assessing the climate for change: A method for managing change in a system implementation.,[引用],,,,,"Gwinn D G. Meeting New Challenges: Creating a Climate for Change[J]. College and University, 1981, 57(1): 13-25."
 Assessing the climate for change: A method for managing change in a system implementation.,[引用],,,,,"Hopelain D G. Assessing the climate for change: A method for managing change in a system implementation[J]. SYST. OBJECT. SOLUTIONS., 1982, 2(2): 55-65."
Creating a climate for change: Communicating climate change and facilitating social change,,https://bioone.org/journals/Ecoscience/volume-14/issue-4/1195-6860(2007)14[545:CACFCC]2.0.CO;2/Creating-a-Climate-for-Change--Communicating-Climate-Change-and/10.2980/1195-6860(2007)14[545:CACFCC]2.0.CO;2.full,https://sci-hub.se/10.2980/1195-6860(2007)14[545:CACFCC]2.0.CO;2.full,https://cdn1.booksdl.org/index.php?req=10.2980/1195-6860(2007)14[545:CACFCC]2.0.CO;2.full,10.2980/1195-6860(2007)14[545:CACFCC]2.0.CO;2.full,"Huntington H P. Creating a climate for change: Communicating climate change and facilitating social change[J]. Ecoscience, 2007, 14(4): 545-546."
A climate for change,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9650685/,,,,"Robinson N. A climate for change[J]. European Journal of Integrative Medicine, 2008."
Climate for Change,,https://search.informit.org/doi/abs/10.3316/INFORMIT.154473999534633,https://sci-hub.se/10.3316/INFORMIT.154473999534633,https://cdn1.booksdl.org/index.php?req=10.3316/INFORMIT.154473999534633,10.3316/INFORMIT.154473999534633,"Robinson N. A climate for change[J]. European Journal of Integrative Medicine, 2008."
The Rx to OTC switch—creating the climate for change,,https://link.springer.com/content/pdf/10.1057/9780230522510_4.pdf,https://sci-hub.se/10.1057/9780230522510_4.pdf,https://cdn1.booksdl.org/index.php?req=10.1057/9780230522510_4.pdf,10.1057/9780230522510_4.pdf,"Lyon G. The Rx to OTC switch—creating the climate for change[J]. Brand medicine: the role of branding in the pharmaceutical industry, 2001: 47-59."
The climate for change: The conditions for effective climate change policies: A case study on residential home insulation policies in new zealand and germany,,http://researcharchive.vuw.ac.nz/xmlui/handle/10063/1117,,https://researcharchive.vuw.ac.nz/xmlui/bitstream/handle/10063/1117/thesis.pdf?sequence=1,,Lah O. The climate for change: The conditions for effective climate change policies: A case study on residential home insulation policies in new zealand and germany[J]. 2009.
Creating a Climate for Change in a Major Urban School System.,,https://eric.ed.gov/?id=EJ493649,,,,"Sykes M R. Creating a Climate for Change in a Major Urban School System[J]. Young Children, 1994, 50(1): 4-7."
Climate for change,,https://search.informit.org/doi/pdf/10.3316/informit.307412464634370,https://sci-hub.se/10.3316/informit.307412464634370,https://cdn1.booksdl.org/index.php?req=10.3316/informit.307412464634370,10.3316/informit.307412464634370,"Sykes M R. Creating a Climate for Change in a Major Urban School System[J]. Young Children, 1994, 50(1): 4-7."
 A climate for change in the UNSC?: Member states' approaches to the climate-security nexus,[PDF],https://d-nb.info/121238038X/34,,https://d-nb.info/121238038X/34,,Hardt J N. A climate for change in the UNSC?: Member states’ approaches to the climate-security nexus[J]. 2020.
Book Review: A Climate for Change,,https://pubs.acs.org/doi/pdf/10.1021/es9620651,https://sci-hub.se/10.1021/es9620651,https://cdn1.booksdl.org/index.php?req=10.1021/es9620651,10.1021/es9620651,"Wirth D A. Book Review: A Climate for Change[J]. Environmental Science & Technology, 1996, 30(1): 45A-45A."
Organisational climate for change in schools: towards definition and measurement,,https://www.tandfonline.com/doi/pdf/10.1080/0305569790050306,https://sci-hub.se/10.1080/0305569790050306,https://cdn1.booksdl.org/index.php?req=10.1080/0305569790050306,10.1080/0305569790050306,"McGeown V. Organisational climate for change in schools: towards definition and measurement[J]. Educational Studies, 1979, 5(3): 251-264."
 A climate for change? Vertical and horizontal collegial relations in TVET colleges,[引用],,,https://nottingham-repository.worktribe.com/index.php/preview/1406183/JET-TVET-text-and-cover-web-final-1.pdf,,"Wedekind V, Buthelezi Z. A climate for change? Vertical and horizontal collegial relations in TVET colleges[J]. Change Management in TVET colleges, 2016."
Creating a climate for change introduction of a new hospital electronic medical record,,https://www.sciencedirect.com/science/article/pii/S1541461213000499,,,,"Katterhagen L. Creating a climate for change introduction of a new hospital electronic medical record[J]. Nurse Leader, 2013, 11(3): 40-47."
A Climate for Change,,http://earth.columbia.edu/sitefiles/file/about/director/documents/TimeMar82007-AClimateForChange.pdf,,,,"Sachs J D. A Climate for Change[J]. TIME Magazine, March, 2007, 8: 2007."
The Climate for Change: Factors that Foster Adaptability within the School.,,https://eric.ed.gov/?id=EJ088887,,,,"Becker J M. The Climate for Change: Factors that Foster Adaptability within the School[J]. North Central Association Quarterly, 1973."
Investing in a Climate for Change: UNEP's Energy Finance Programme-Scaling Up Clean Technology Investment,,http://resp.llas.ac.cn/C666/handle/2XK7JSWQ/10514,,,,"Zhongming Z, Linong L, Xiaona Y, et al. Investing in a Climate for Change: UNEP's Energy Finance Programme-Scaling Up Clean Technology Investment[J]. 2012."
Creating a Climate for Change the Aztec Experience,,https://www.tandfonline.com/doi/pdf/10.1080/00094056.1995.10522618,https://sci-hub.se/10.1080/00094056.1995.10522618,https://cdn1.booksdl.org/index.php?req=10.1080/00094056.1995.10522618,10.1080/00094056.1995.10522618,"Kelley M F, Fitterer C H, Kling K, et al. Creating a Climate for Change the Aztec Experience[J]. Childhood Education, 1995, 71(5): 270-274."
 Perception of climate for change in the work place,[图书],https://search.proquest.com/openview/e141bb925cf2b782e4724cbb14d73ab4/1?pq-origsite=gscholar&cbl=18750&diss=y,,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1076&context=aglecdiss,,"Tondl R M. Perception of climate for change in the work place[M]. The University of Nebraska-Lincoln, 1989."
Creating the right climate for change,,https://search.proquest.com/openview/2934f209c1b86b46f65a6d6ea4e8c958/1?pq-origsite=gscholar&cbl=44514,,,,"Briggs D. Creating the right climate for change[J]. Strategic Communication Management, 2007, 11(4): 13."
Climate for change?: Integrating climate change into cities' planning practices,,https://vbn.aau.dk/en/publications/climate-for-change-integrating-climate-change-into-cities-plannin,,https://vbn.aau.dk/ws/files/316424467/PhD_thesis_for_online_publication_1_.pdf,,Wejs A. Climate for change?: Integrating climate change into cities’ planning practices[J]. 2013.
Developing a healthy climate for educational change: An administrative approach,,https://journals.sagepub.com/doi/pdf/10.1177/009155218100800405,https://sci-hub.se/10.1177/009155218100800405,https://cdn1.booksdl.org/index.php?req=10.1177/009155218100800405,10.1177/009155218100800405,"Walker P D. Developing a healthy climate for educational change: An administrative approach[J]. Community College Review, 1981, 8(4): 22-26."
